date,code,close,prsn_qty,frgn_qty,orgn_qty,prsn_val,frgn_val,orgn_val
2026-04-20,009150,680000,190509.0,-184624.0,-6277.0,130234.0,-126161.0,-4351.0
2026-04-21,009150,772000,-133959.0,142030.0,-10307.0,-97845.0,104643.0,-8528.0
2026-04-22,009150,812000,34672.0,1762.0,-35096.0,26558.0,2266.0,-27723.0
2026-04-23,009150,774000,180775.0,-78027.0,-99911.0,140543.0,-60963.0,-77378.0
2026-04-24,009150,788000,-27444.0,-9483.0,38366.0,-21586.0,-7273.0,29971.0
2026-04-27,009150,794000,-2797.0,71433.0,-70213.0,-2323.0,56376.0,-55290.0
2026-04-28,009150,839000,-56792.0,54393.0,2999.0,-47404.0,45429.0,2483.0
2026-04-29,009150,827000,89689.0,-73117.0,-18635.0,73299.0,-59827.0,-15162.0
2026-04-30,009150,832000,28525.0,16319.0,-47588.0,23414.0,14618.0,-40399.0
2026-05-04,009150,918000,-142650.0,98847.0,42260.0,-126933.0,87444.0,38116.0
2026-05-06,009150,912000,364895.0,-287530.0,-75333.0,336130.0,-263975.0,-70263.0
2026-05-07,009150,917000,26141.0,-77286.0,52096.0,23687.0,-70012.0,47162.0
2026-05-08,009150,914000,-17603.0,-64040.0,82362.0,-16202.0,-57820.0,74675.0
2026-05-11,009150,900000,46091.0,3454.0,-50433.0,39529.0,4020.0,-44364.0
2026-05-12,009150,958000,-363576.0,-118515.0,491127.0,-347592.0,-113260.0,469418.0
2026-05-13,009150,1029000,-194871.0,93642.0,97396.0,-193460.0,91450.0,98138.0
2026-05-14,009150,1024000,-7138.0,-40078.0,45253.0,-7757.0,-40791.0,46541.0
2026-05-15,009150,1010000,11300.0,-28221.0,19373.0,10807.0,-30129.0,21669.0
2026-05-18,009150,1031000,37928.0,-91485.0,51239.0,36643.0,-92451.0,53367.0
2026-05-19,009150,987000,130198.0,-150669.0,25640.0,129245.0,-149940.0,25646.0
2026-05-20,009150,1061000,24301.0,-111248.0,82167.0,26856.0,-115830.0,83851.0
2026-05-21,009150,1204000,-72472.0,39980.0,31618.0,-85529.0,47198.0,37293.0
2026-05-22,009150,1340000,52965.0,10236.0,-67764.0,64775.0,17661.0,-88296.0
2026-05-26,009150,1572000,203923.0,-131003.0,-71840.0,315148.0,-204953.0,-108707.0
2026-05-27,009150,1675000,,,,,,
2026-04-13,009540,388500,7238.0,-19187.0,12165.0,2784.0,-7442.0,4742.0
2026-04-14,009540,396500,-6791.0,-15313.0,21556.0,-2716.0,-6031.0,8530.0
2026-04-15,009540,401500,-27812.0,3783.0,23607.0,-11319.0,1471.0,9674.0
2026-04-16,009540,408000,10767.0,-31690.0,20168.0,4351.0,-12867.0,8210.0
2026-04-17,009540,419500,-12815.0,-21805.0,34268.0,-5401.0,-8941.0,14197.0
2026-04-20,009540,413000,28127.0,-39196.0,10963.0,11679.0,-16300.0,4577.0
2026-04-21,009540,427500,-9719.0,-14700.0,25223.0,-4165.0,-6193.0,10700.0
2026-04-22,009540,463000,-131987.0,17270.0,116450.0,-59609.0,7507.0,52901.0
2026-04-23,009540,461000,-19576.0,-7585.0,27836.0,-8921.0,-3483.0,12715.0
2026-04-24,009540,476000,-56014.0,31546.0,24192.0,-26531.0,14956.0,11446.0
2026-04-27,009540,479000,-17293.0,14439.0,4703.0,-8313.0,6939.0,2258.0
2026-04-28,009540,468500,1543.0,11055.0,-13096.0,731.0,5166.0,-6128.0
2026-04-29,009540,472000,-18997.0,21103.0,947.0,-8973.0,9930.0,482.0
2026-04-30,009540,461500,-13170.0,3418.0,9366.0,-6200.0,1695.0,4325.0
2026-05-04,009540,469500,-11940.0,9643.0,3125.0,-5611.0,4516.0,1480.0
2026-05-06,009540,452500,26628.0,24504.0,-51389.0,12156.0,11117.0,-23392.0
2026-05-07,009540,467500,-21575.0,6578.0,15888.0,-10059.0,3097.0,7364.0
2026-05-08,009540,452000,46180.0,-21796.0,-24826.0,20822.0,-9868.0,-11147.0
2026-05-11,009540,474000,-53032.0,29382.0,23315.0,-25466.0,14104.0,11191.0
2026-05-12,009540,464500,-17609.0,36122.0,-18049.0,-7982.0,16579.0,-8379.0
2026-05-13,009540,460500,24002.0,13047.0,-38389.0,10913.0,6029.0,-17559.0
2026-05-14,009540,437500,-19235.0,85810.0,-66257.0,-8423.0,37604.0,-29039.0
2026-05-15,009540,416000,10326.0,34789.0,-45596.0,4317.0,14608.0,-19129.0
2026-05-18,009540,410000,9809.0,-23021.0,12504.0,3909.0,-9354.0,5162.0
2026-05-19,009540,400000,12556.0,-24465.0,11804.0,4903.0,-9740.0,4796.0
2026-05-20,009540,399000,4792.0,-17480.0,13653.0,1893.0,-6942.0,5422.0
2026-05-21,009540,415000,17190.0,-18333.0,296.0,7040.0,-7500.0,113.0
2026-05-22,009540,421000,5185.0,-21313.0,16229.0,2135.0,-8917.0,6825.0
2026-05-26,009540,445000,-42175.0,7172.0,35179.0,-18646.0,3258.0,15461.0
2026-05-27,009540,443000,,,,,,
2026-04-13,010130,1663000,-17166.0,8379.0,8844.0,-28345.0,13759.0,14682.0
2026-04-14,010130,1649000,4162.0,-7535.0,2887.0,6945.0,-12584.0,4828.0
2026-04-15,010130,1660000,1180.0,-5411.0,4157.0,1761.0,-8916.0,7032.0
2026-04-16,010130,1694000,-6993.0,-693.0,7643.0,-11990.0,-1128.0,13046.0
2026-04-17,010130,1679000,2468.0,-3001.0,484.0,4140.0,-5045.0,822.0
2026-04-20,010130,1665000,2535.0,-2272.0,-219.0,4232.0,-3808.0,-349.0
2026-04-21,010130,1670000,-860.0,631.0,295.0,-1472.0,1074.0,509.0
2026-04-22,010130,1698000,-3982.0,3402.0,546.0,-6772.0,5777.0,939.0
2026-04-23,010130,1674000,9452.0,-7521.0,-1149.0,15669.0,-12517.0,-1848.0
2026-04-24,010130,1642000,7492.0,-5463.0,-2006.0,12251.0,-8949.0,-3264.0
2026-04-27,010130,1642000,785.0,-1845.0,1023.0,1227.0,-2974.0,1687.0
2026-04-28,010130,1627000,4819.0,-5058.0,292.0,7834.0,-8257.0,510.0
2026-04-29,010130,1604000,19508.0,-14843.0,-4716.0,30807.0,-23445.0,-7443.0
2026-04-30,010130,1579000,33819.0,-39837.0,5344.0,52526.0,-61911.0,8326.0
2026-05-04,010130,1629000,-14340.0,12037.0,2299.0,-23367.0,19595.0,3766.0
2026-05-06,010130,1747000,-36446.0,32832.0,3388.0,-62177.0,55979.0,5807.0
2026-05-07,010130,1560000,90522.0,-81206.0,-10324.0,142689.0,-128096.0,-16167.0
2026-05-08,010130,1559000,12004.0,-5645.0,-7284.0,18571.0,-8748.0,-11257.0
2026-05-11,010130,1528000,14788.0,-9213.0,-5698.0,22638.0,-14134.0,-8692.0
2026-05-12,010130,1512000,-2998.0,4603.0,-1088.0,-5108.0,7492.0,-1566.0
2026-05-13,010130,1501000,5671.0,-762.0,-5023.0,8463.0,-1146.0,-7490.0
2026-05-14,010130,1511000,5342.0,-4874.0,-150.0,7902.0,-7333.0,-91.0
2026-05-15,010130,1426000,13912.0,-9851.0,-4024.0,20255.0,-14359.0,-5844.0
2026-05-18,010130,1420000,-407.0,1039.0,-508.0,-596.0,1459.0,-689.0
2026-05-19,010130,1374000,3783.0,-4274.0,453.0,5195.0,-5880.0,634.0
2026-05-20,010130,1314000,2390.0,3717.0,-6109.0,3095.0,4844.0,-7942.0
2026-05-21,010130,1405000,-2309.0,-2417.0,4595.0,-3239.0,-3439.0,6494.0
2026-05-22,010130,1430000,-491.0,-446.0,475.0,-708.0,-625.0,679.0
2026-05-26,010130,1444000,-411.0,1646.0,-1305.0,-657.0,2419.0,-1863.0
2026-05-27,010130,1390000,,,,,,
2026-04-13,010140,27600,822128.0,-776511.0,-65395.0,22722.0,-21484.0,-1788.0
2026-04-14,010140,27900,478444.0,-842501.0,360385.0,13285.0,-23461.0,10074.0
2026-04-15,010140,28100,157296.0,-306980.0,188158.0,4337.0,-8636.0,5384.0
2026-04-16,010140,28700,-799102.0,201661.0,575175.0,-22946.0,5832.0,16482.0
2026-04-17,010140,29050,-80207.0,-226874.0,263300.0,-2429.0,-6404.0,7562.0
2026-04-20,010140,28550,615469.0,-487977.0,-145981.0,17693.0,-14081.0,-4147.0
2026-04-21,010140,30200,-1930560.0,710026.0,1143053.0,-57259.0,20965.0,33965.0
2026-04-22,010140,31800,-1975195.0,791025.0,1072930.0,-61797.0,24644.0,33654.0
2026-04-23,010140,34000,-2720544.0,1190227.0,1592490.0,-91982.0,40286.0,53787.0
2026-04-24,010140,34400,1170878.0,-1200955.0,194947.0,39981.0,-41025.0,6709.0
2026-04-27,010140,33450,2969824.0,-1977904.0,-972488.0,99649.0,-66343.0,-32647.0
2026-04-28,010140,33350,491885.0,30215.0,-528433.0,16456.0,912.0,-17583.0
2026-04-29,010140,33000,797498.0,-317582.0,-481178.0,26190.0,-10423.0,-15815.0
2026-04-30,010140,32350,502652.0,65072.0,-573581.0,16526.0,2013.0,-18724.0
2026-05-04,010140,32250,3380496.0,-1996338.0,-1432768.0,108094.0,-63867.0,-45780.0
2026-05-06,010140,31850,2607592.0,-1019005.0,-1573330.0,83418.0,-32652.0,-50282.0
2026-05-07,010140,33700,-812124.0,502578.0,299833.0,-27255.0,16937.0,9973.0
2026-05-08,010140,31950,4582341.0,-3570545.0,-1152330.0,147657.0,-115125.0,-37061.0
2026-05-11,010140,33950,-1886501.0,1699684.0,825.0,-65337.0,58707.0,224.0
2026-05-12,010140,31400,6004025.0,-4922006.0,-1117726.0,191922.0,-157524.0,-35483.0
2026-05-13,010140,31050,1927495.0,-1416994.0,-483841.0,59468.0,-43753.0,-14899.0
2026-05-14,010140,30150,3235147.0,-1705946.0,-1577922.0,97797.0,-51624.0,-47637.0
2026-05-15,010140,29300,1578710.0,-1745395.0,143308.0,47442.0,-52236.0,4092.0
2026-05-18,010140,29550,735457.0,-599966.0,-188214.0,21292.0,-17577.0,-5236.0
2026-05-19,010140,28550,1618498.0,-1427244.0,-206678.0,46770.0,-41262.0,-5950.0
2026-05-20,010140,27650,751758.0,-732339.0,-32654.0,20810.0,-20361.0,-814.0
2026-05-21,010140,28650,512883.0,-817274.0,280104.0,14626.0,-23396.0,8072.0
2026-05-22,010140,29500,-175370.0,-611197.0,772065.0,-5255.0,-17896.0,22734.0
2026-05-26,010140,30450,492404.0,-506629.0,-36268.0,14881.0,-15360.0,-1053.0
2026-05-27,010140,29650,,,,,,
2026-04-13,010950,122000,-23884.0,-149440.0,167976.0,-2937.0,-18190.0,20479.0
2026-04-14,010950,119100,61437.0,-2788.0,-57526.0,7258.0,-312.0,-6814.0
2026-04-15,010950,117500,-12676.0,78921.0,-62214.0,-1502.0,9214.0,-7239.0
2026-04-16,010950,118100,-28114.0,25508.0,3413.0,-3346.0,3021.0,420.0
2026-04-17,010950,117300,23524.0,-5126.0,-16246.0,2711.0,-576.0,-1885.0
2026-04-20,010950,115900,31020.0,3870.0,-35474.0,3569.0,462.0,-4100.0
2026-04-21,010950,114300,43592.0,39300.0,-86320.0,4970.0,4509.0,-9871.0
2026-04-22,010950,114100,54894.0,-6642.0,-50060.0,6260.0,-750.0,-5717.0
2026-04-23,010950,120800,-258257.0,180853.0,75282.0,-30723.0,21521.0,8954.0
2026-04-24,010950,119400,30465.0,-46914.0,16294.0,3599.0,-5562.0,1944.0
2026-04-27,010950,115400,223341.0,-129669.0,-94866.0,25780.0,-14960.0,-10956.0
2026-04-28,010950,118700,-187987.0,163979.0,26733.0,-22157.0,19271.0,3204.0
2026-04-29,010950,134300,-685272.0,256000.0,423821.0,-88642.0,32663.0,55277.0
2026-04-30,010950,134500,-204964.0,82914.0,123313.0,-27583.0,11149.0,16600.0
2026-05-04,010950,128000,138534.0,-15909.0,-119220.0,17727.0,-2076.0,-15214.0
2026-05-06,010950,122000,72413.0,78719.0,-145126.0,8838.0,9630.0,-17729.0
2026-05-07,010950,118200,4250.0,10432.0,-16827.0,494.0,1242.0,-1991.0
2026-05-08,010950,116800,53142.0,-12182.0,-42509.0,6183.0,-1412.0,-4954.0
2026-05-11,010950,110900,387281.0,-145002.0,-232903.0,43049.0,-16029.0,-25857.0
2026-05-12,010950,114300,-155899.0,122125.0,39279.0,-17730.0,13854.0,4509.0
2026-05-13,010950,115300,-69844.0,53249.0,15283.0,-8416.0,6436.0,1825.0
2026-05-14,010950,115000,-9559.0,56309.0,-46299.0,-1307.0,6432.0,-5067.0
2026-05-15,010950,112100,-92962.0,118130.0,-20379.0,-10692.0,13492.0,-2264.0
2026-05-18,010950,111500,-14142.0,24125.0,-12652.0,-1572.0,2652.0,-1370.0
2026-05-19,010950,110100,-25723.0,8504.0,17793.0,-2830.0,924.0,1972.0
2026-05-20,010950,110800,-47288.0,68801.0,-18958.0,-5192.0,7537.0,-2064.0
2026-05-21,010950,107300,170209.0,-2168.0,-172371.0,18269.0,-208.0,-18527.0
2026-05-22,010950,109000,-64729.0,114563.0,-49748.0,-7089.0,12496.0,-5398.0
2026-05-26,010950,110100,-70123.0,87371.0,-19785.0,-7742.0,9634.0,-2167.0
2026-05-27,010950,107000,,,,,,
2026-04-13,011070,361500,22337.0,-26619.0,4566.0,8105.0,-9694.0,1690.0
2026-04-14,011070,370500,-16847.0,-11421.0,25930.0,-6185.0,-4215.0,9538.0
2026-04-15,011070,383000,-56053.0,-24778.0,80887.0,-21404.0,-9509.0,30937.0
2026-04-16,011070,379000,3357.0,-22686.0,21520.0,1253.0,-8597.0,8164.0
2026-04-17,011070,394000,-47630.0,-959.0,47477.0,-18747.0,-361.0,18681.0
2026-04-20,011070,409500,-17589.0,-50214.0,68025.0,-7366.0,-20436.0,27884.0
2026-04-21,011070,425000,19487.0,-63642.0,45307.0,8254.0,-27002.0,19215.0
2026-04-22,011070,500000,36143.0,-95958.0,55030.0,16850.0,-46153.0,26899.0
2026-04-23,011070,500000,95207.0,-137811.0,40396.0,49047.0,-70299.0,20120.0
2026-04-24,011070,542000,-35423.0,-49321.0,82734.0,-19589.0,-26165.0,44642.0
2026-04-27,011070,536000,100615.0,-86387.0,-13086.0,53273.0,-45884.0,-6775.0
2026-04-28,011070,577000,8048.0,-32876.0,23622.0,4721.0,-18900.0,13509.0
2026-04-29,011070,592000,29708.0,-42993.0,13035.0,17186.0,-25040.0,7708.0
2026-04-30,011070,573000,-9200.0,32430.0,-20247.0,-5136.0,18610.0,-11762.0
2026-05-04,011070,595000,-18603.0,12577.0,8060.0,-11147.0,7452.0,4901.0
2026-05-06,011070,632000,-50712.0,35698.0,14827.0,-31537.0,22159.0,9247.0
2026-05-07,011070,637000,-20446.0,-27672.0,47818.0,-12843.0,-17655.0,30308.0
2026-05-08,011070,624000,-22305.0,2817.0,22053.0,-13877.0,1650.0,13821.0
2026-05-11,011070,688000,-23055.0,6110.0,14309.0,-15537.0,3466.0,10264.0
2026-05-12,011070,696000,3800.0,-57126.0,54145.0,3213.0,-40257.0,37573.0
2026-05-13,011070,753000,46055.0,-131976.0,83357.0,32995.0,-95357.0,60554.0
2026-05-14,011070,760000,20280.0,-52618.0,30899.0,15484.0,-40030.0,23442.0
2026-05-15,011070,732000,11279.0,-35597.0,29432.0,9479.0,-28363.0,22623.0
2026-05-18,011070,760000,-8009.0,-35033.0,42907.0,-5820.0,-26340.0,32046.0
2026-05-19,011070,793000,27009.0,-77755.0,50079.0,21235.0,-61780.0,39991.0
2026-05-20,011070,760000,529.0,-31940.0,32270.0,910.0,-24183.0,23872.0
2026-05-21,011070,838000,-33157.0,-1289.0,32942.0,-27679.0,-942.0,27377.0
2026-05-22,011070,864000,19482.0,-49681.0,28218.0,16268.0,-41931.0,23954.0
2026-05-26,011070,1068000,76659.0,-99563.0,24303.0,80661.0,-106416.0,27160.0
2026-05-27,011070,1046000,,,,,,
2026-04-13,011170,88600,21631.0,-5922.0,-14936.0,1899.0,-525.0,-1304.0
2026-04-14,011170,88600,25196.0,27522.0,-52822.0,2214.0,2435.0,-4656.0
2026-04-15,011170,89600,-18857.0,-11738.0,31441.0,-1702.0,-1047.0,2826.0
2026-04-16,011170,89300,-6226.0,-8359.0,21233.0,-571.0,-741.0,1911.0
2026-04-17,011170,88700,14588.0,-16233.0,1829.0,1295.0,-1447.0,168.0
2026-04-20,011170,89300,-18786.0,1592.0,16740.0,-1741.0,170.0,1532.0
2026-04-21,011170,89900,11941.0,-25957.0,13913.0,1065.0,-2328.0,1254.0
2026-04-22,011170,91000,-4646.0,-15542.0,20118.0,-495.0,-1351.0,1840.0
2026-04-23,011170,94100,-70209.0,8754.0,61535.0,-6554.0,843.0,5718.0
2026-04-24,011170,96700,-86499.0,-29351.0,125951.0,-8461.0,-2832.0,12282.0
2026-04-27,011170,92200,76437.0,-55580.0,-23515.0,7138.0,-5210.0,-2174.0
2026-04-28,011170,94500,-38745.0,-1170.0,39930.0,-3675.0,-110.0,3787.0
2026-04-29,011170,118000,-389624.0,-54092.0,440648.0,-42846.0,-6988.0,49475.0
2026-04-30,011170,113900,-11086.0,-76455.0,85474.0,-1345.0,-8720.0,9830.0
2026-05-04,011170,106200,226401.0,-186314.0,-43900.0,24602.0,-20269.0,-4744.0
2026-05-06,011170,100800,169542.0,55851.0,-224399.0,17100.0,5533.0,-22532.0
2026-05-07,011170,100400,16771.0,-8913.0,-8578.0,1671.0,-893.0,-853.0
2026-05-08,011170,99900,84198.0,-10967.0,-73013.0,8408.0,-1092.0,-7294.0
2026-05-11,011170,106500,-75737.0,3299.0,73371.0,-8081.0,374.0,7805.0
2026-05-12,011170,89100,595040.0,-220268.0,-378618.0,54715.0,-20834.0,-34239.0
2026-05-13,011170,86300,6398.0,38976.0,-44195.0,573.0,3367.0,-3838.0
2026-05-14,011170,91600,-33672.0,70922.0,-39931.0,-3069.0,6324.0,-3487.0
2026-05-15,011170,86500,49812.0,-26293.0,-23622.0,4329.0,-2277.0,-2060.0
2026-05-18,011170,84100,-15781.0,78924.0,-65823.0,-1355.0,6609.0,-5475.0
2026-05-19,011170,82000,4207.0,20941.0,-24642.0,334.0,1681.0,-1974.0
2026-05-20,011170,79000,25455.0,52865.0,-80338.0,1985.0,4124.0,-6264.0
2026-05-21,011170,81800,14345.0,85584.0,-99782.0,1144.0,6938.0,-8071.0
2026-05-22,011170,82900,32813.0,19953.0,-53447.0,2722.0,1656.0,-4434.0
2026-05-26,011170,83500,55796.0,5065.0,-61003.0,4657.0,420.0,-5088.0
2026-05-27,011170,81000,,,,,,
2026-04-13,011200,21150,169005.0,-180622.0,18915.0,3557.0,-3812.0,408.0
2026-04-14,011200,21000,-19624.0,-78196.0,98149.0,-404.0,-1639.0,2050.0
2026-04-15,011200,21100,213848.0,-147603.0,-57532.0,4485.0,-3102.0,-1199.0
2026-04-16,011200,21200,-71791.0,23567.0,45112.0,-1532.0,506.0,959.0
2026-04-17,011200,21100,-23283.0,6607.0,11760.0,-510.0,155.0,252.0
2026-04-20,011200,21000,87872.0,88104.0,-171760.0,1821.0,1881.0,-3613.0
2026-04-21,011200,21100,-105192.0,158206.0,-55396.0,-2227.0,3341.0,-1165.0
2026-04-22,011200,20850,254740.0,-32288.0,-224224.0,5308.0,-677.0,-4668.0
2026-04-23,011200,20750,233174.0,4930.0,-247672.0,4791.0,110.0,-5098.0
2026-04-24,011200,21100,-591305.0,652803.0,-43603.0,-12468.0,13764.0,-919.0
2026-04-27,011200,20950,196494.0,15640.0,-221883.0,4116.0,327.0,-4647.0
2026-04-28,011200,20750,270075.0,-154042.0,-106595.0,5605.0,-3196.0,-2214.0
2026-04-29,011200,20750,43127.0,128269.0,-171418.0,878.0,2662.0,-3540.0
2026-04-30,011200,20500,320225.0,-235357.0,-94646.0,6552.0,-4809.0,-1943.0
2026-05-04,011200,21150,1220707.0,-862298.0,-349477.0,26118.0,-18488.0,-7440.0
2026-05-06,011200,20550,518387.0,-72012.0,-435891.0,10696.0,-1480.0,-9001.0
2026-05-07,011200,20950,-440747.0,460545.0,-15459.0,-9254.0,9660.0,-315.0
2026-05-08,011200,20600,276524.0,-157263.0,-132805.0,5683.0,-3227.0,-2734.0
2026-05-11,011200,20050,391718.0,-76210.0,-319756.0,7846.0,-1524.0,-6407.0
2026-05-12,011200,19800,255845.0,-281403.0,54458.0,5058.0,-5575.0,1086.0
2026-05-13,011200,19830,129015.0,-86180.0,-45973.0,2520.0,-1677.0,-904.0
2026-05-14,011200,20100,159755.0,-331487.0,157495.0,3021.0,-6610.0,3312.0
2026-05-15,011200,19890,-283495.0,381531.0,-99081.0,-5734.0,7670.0,-1957.0
2026-05-18,011200,19960,-462559.0,423028.0,54479.0,-9213.0,8397.0,1118.0
2026-05-19,011200,19820,-120920.0,64037.0,52317.0,-2405.0,1279.0,1037.0
2026-05-20,011200,19670,-224869.0,298711.0,-80512.0,-4423.0,5859.0,-1566.0
2026-05-21,011200,20250,-416911.0,528456.0,-110202.0,-8463.0,10707.0,-2217.0
2026-05-22,011200,20500,-491524.0,582877.0,-81192.0,-10133.0,12006.0,-1663.0
2026-05-26,011200,20200,170285.0,-98239.0,-53674.0,3457.0,-2005.0,-1078.0
2026-05-27,011200,19740,,,,,,
2026-04-13,012330,391500,31012.0,25176.0,-56331.0,12061.0,9803.0,-21920.0
2026-04-14,012330,405000,-43027.0,40255.0,3123.0,-17456.0,16295.0,1304.0
2026-04-15,012330,415500,-30654.0,32907.0,-3563.0,-12793.0,13719.0,-1466.0
2026-04-16,012330,427000,1955.0,3532.0,-2745.0,842.0,1453.0,-1122.0
2026-04-17,012330,427000,10118.0,-1905.0,-5164.0,4347.0,-831.0,-2217.0
2026-04-20,012330,420000,5489.0,28844.0,-35196.0,2311.0,12180.0,-14853.0
2026-04-21,012330,447000,-40817.0,17969.0,21065.0,-17926.0,7727.0,9405.0
2026-04-22,012330,456500,11754.0,936.0,-13077.0,5323.0,397.0,-5889.0
2026-04-23,012330,442500,85278.0,-60256.0,-26652.0,38771.0,-27475.0,-12043.0
2026-04-24,012330,422500,147515.0,-93896.0,-57074.0,62334.0,-39743.0,-24050.0
2026-04-27,012330,432500,8249.0,37122.0,-66837.0,3430.0,16140.0,-28851.0
